experiment,layers,dropout_rate,activation,timesteps,batch_size,filters,kernel_size,pool_size,epochs,mae_blind,rmse_blind,loss,mae,rmse,loss,mae,rmse,train_time
69,1,0.0,relu,14,30,64,5,1,25,0.18089276552200317,0.20403073728084564,0.042029209434986115,0.029777814944585163,0.04273109013835589,[[0.25259555]],[[0.17896467]],[[0.25681385]],12.731929779052734
70,1,0.0,relu,14,30,64,5,2,25,0.1839911788702011,0.20761387050151825,0.0430485891799132,0.03097828725973765,0.04366519923011462,[[0.25872202]],[[0.18617951]],[[0.26242785]],13.363039016723633
71,1,0.0,relu,14,30,64,6,1,25,0.16993872821331024,0.19360919296741486,0.04024805873632431,0.02795182044307391,0.04102275023857752,[[0.24189083]],[[0.16799044]],[[0.24654673]],13.721046209335327
72,1,0.0,relu,14,30,64,6,2,25,0.17867720127105713,0.20258890092372894,0.04417645807067553,0.031960938746730484,0.0448414646089077,[[0.26550051]],[[0.19208524]],[[0.2694972]],13.483932733535767
73,1,0.0,relu,21,10,32,4,1,25,0.24837817251682281,0.2693951427936554,0.0551894928018252,0.04142890187601248,0.05487371856967608,[[0.33168885]],[[0.2489877]],[[0.32979105]],24.181288957595825
74,1,0.0,relu,21,10,32,4,2,25,0.1849260926246643,0.21089725196361542,0.048686922838290535,0.0344221405684948,0.048270437866449356,[[0.29260841]],[[0.20687706]],[[0.29010533]],21.10825800895691
75,1,0.0,relu,21,10,32,5,1,25,0.19383679330348969,0.21971076726913452,0.04775509238243103,0.03359104506671429,0.04735404749711355,[[0.28700811]],[[0.20188218]],[[0.28459783]],20.75856375694275
76,1,0.0,relu,21,10,32,5,2,25,0.1954401582479477,0.2215278148651123,0.050060562789440155,0.035624618331591286,0.04978268966078758,[[0.30086398]],[[0.21410396]],[[0.29919396]],24.240004301071167
77,1,0.0,relu,21,10,32,6,1,25,0.2419186383485794,0.26301109790802,0.0548037625849247,0.040922305236260094,0.05449832727511724,[[0.32937061]],[[0.24594305]],[[0.32753495]],20.372255086898804
78,1,0.0,relu,21,10,32,6,2,25,0.19056153297424316,0.2161850929260254,0.04964990417162577,0.03498460662861665,0.049305062741041183,[[0.29839592]],[[0.21025749]],[[0.29632343]],19.57876491546631
79,1,0.0,relu,21,10,64,4,1,25,0.23246091604232788,0.25627121329307556,0.05339117472370466,0.03946718697746595,0.053115288416544594,[[0.32088096]],[[0.23719779]],[[0.31922288]],26.093398094177246
80,1,0.0,relu,21,10,64,4,2,25,0.18762467801570892,0.21207313239574432,0.051788538694381714,0.03734118491411209,0.05119031916062037,[[0.31124912]],[[0.22442052]],[[0.30765382]],25.569201469421387
81,1,0.0,relu,21,10,64,5,1,25,0.22625963389873505,0.24857628345489502,0.058345433324575424,0.044641717026631035,0.05780686065554619,[[0.35065605]],[[0.26829672]],[[0.34741923]],23.911882638931274
82,1,0.0,relu,21,10,64,5,2,25,0.2707587778568268,0.2916634678840637,0.06578544154763222,0.05242077447474003,0.06547095254063606,[[0.3953705]],[[0.31504885]],[[0.39348042]],26.02212429046631
83,1,0.0,relu,21,10,64,6,1,25,0.199080228805542,0.22351546585559845,0.05623361716667811,0.04261657098929087,0.05563818415006002,[[0.33796404]],[[0.25612559]],[[0.33438549]],25.023225784301758
84,1,0.0,relu,21,10,64,6,2,25,0.20621390640735626,0.22977805137634277,0.05476741244395574,0.04079016794761022,0.05420555919408798,[[0.32915215]],[[0.24514891]],[[0.32577541]],21.452476978302002
85,1,0.0,relu,21,20,32,4,1,25,0.23393487930297852,0.25742682814598083,0.04815198853611946,0.03403097577393055,0.048061163475116096,[[0.28939345]],[[0.20452616]],[[0.28884759]],17.03863763809204
86,1,0.0,relu,21,20,32,4,2,25,0.1752626746892929,0.2015235275030136,0.046415490408738456,0.03192633017897606,0.04607481136918068,[[0.2789571]],[[0.19187724]],[[0.27690962]],16.522688388824463
87,1,0.0,relu,21,20,32,5,1,25,0.194133460521698,0.2207953929901123,0.042576733976602554,0.02821025438606739,0.042417640487353005,[[0.25588617]],[[0.16954363]],[[0.25493002]],16.535017728805542
88,1,0.0,relu,21,20,32,5,2,25,0.19120025634765625,0.2176743596792221,0.047057460993528366,0.032465691988666855,0.04685290281971296,[[0.28281534]],[[0.19511881]],[[0.28158595]],17.04000425338745
89,1,0.0,relu,21,20,32,6,1,25,0.20096521079540253,0.22461068630218506,0.04533383250236511,0.030643381799260776,0.04515111818909645,[[0.27245633]],[[0.18416672]],[[0.27135822]],14.798429489135742
90,1,0.0,relu,21,20,32,6,2,25,0.2412230521440506,0.26553621888160706,0.05270552635192871,0.03850294897953669,0.052671930442253746,[[0.31676021]],[[0.23140272]],[[0.3165583]],15.985772848129272
91,1,0.0,relu,21,20,64,4,1,25,0.2639698386192322,0.2875504195690155,0.057865011195341744,0.04561257114013036,0.057299837470054626,[[0.34776872]],[[0.27413155]],[[0.34437202]],14.223039627075195
92,1,0.0,relu,21,20,64,4,2,25,0.19566915929317474,0.22198759019374847,0.0454239584505558,0.030678872639934223,0.04528186097741127,[[0.27299799]],[[0.18438002]],[[0.27214398]],14.526850461959839
93,1,0.0,relu,21,20,64,5,1,25,0.21169012784957886,0.23282559216022491,0.049634953339894615,0.03532967219750086,0.04908344894647598,[[0.29830607]],[[0.21233133]],[[0.29499153]],16.85677480697632
94,1,0.0,relu,21,20,64,5,2,25,0.1929495483636856,0.21733693778514862,0.050024369110663734,0.035567366828521095,0.04958339656392733,[[0.30064646]],[[0.21375987]],[[0.29799621]],16.92499542236328
95,1,0.0,relu,21,20,64,6,1,25,0.2216341644525528,0.24523425102233887,0.04768220211068789,0.03345052463312944,0.047614154716332756,[[0.28657003]],[[0.20103765]],[[0.28616107]],14.763342380523682
96,1,0.0,relu,21,20,64,6,2,25,0.18417929112911224,0.2090630680322647,0.046123972783486046,0.031581069653232895,0.04575232913096746,[[0.27720508]],[[0.18980223]],[[0.2749715]],14.227632284164429
97,1,0.0,relu,21,30,32,4,1,25,0.18922336399555206,0.21335524320602417,0.045447381834189095,0.03126015452047189,0.04498817895849546,[[0.27313876]],[[0.18787353]],[[0.27037896]],12.544233560562134
98,1,0.0,relu,21,30,32,4,2,25,0.17646966874599457,0.2019314169883728,0.043463680893182755,0.029275141656398773,0.043163747837146126,[[0.26121672]],[[0.1759436]],[[0.25941412]],13.56925344467163
99,1,0.0,relu,21,30,32,5,1,25,0.2135782390832901,0.23749719560146332,0.04930252333482107,0.03541544576485952,0.04881099735697111,[[0.29630817]],[[0.21284683]],[[0.29335409]],14.165348291397095
100,1,0.0,relu,21,30,32,5,2,25,0.19596213102340698,0.21921306848526,0.047125544399023056,0.033864534770449005,0.04676903411746025,[[0.28322452]],[[0.20352585]],[[0.2810819]],13.289482116699219
101,1,0.0,relu,21,30,32,6,1,25,0.20903147757053375,0.23365823924541473,0.04637650648752848,0.03242121636867523,0.04597129548589388,[[0.2787228]],[[0.19485151]],[[0.27628749]],12.648235082626343
102,1,0.0,relu,21,30,32,6,2,25,0.18140101432800293,0.2063923329114914,0.04565029218792915,0.031845089669028916,0.045203011482954025,[[0.27435826]],[[0.19138899]],[[0.2716701]],12.326732158660889
103,1,0.0,relu,21,30,64,4,1,25,0.24079222977161407,0.2650374174118042,0.04960939288139343,0.03576357041796049,0.04950272043546041,[[0.29815245]],[[0.21493906]],[[0.29751135]],12.607189178466797
104,1,0.0,relu,21,30,64,4,2,25,0.20585060119628906,0.2305174618959427,0.049626617381970085,0.03539190317193667,0.049147150168816246,[[0.29825597]],[[0.21270534]],[[0.29537437]],13.895758628845215
105,1,0.0,relu,21,30,64,5,1,25,0.2078828364610672,0.23189087212085724,0.04754930113752683,0.03328055081268152,0.04714894046386083,[[0.2857713]],[[0.20001611]],[[0.28336513]],13.136879920959473
106,1,0.0,relu,21,30,64,5,2,25,0.1907598227262497,0.21571536362171173,0.04595370342334112,0.03176531940698624,0.04556511094172796,[[0.27618176]],[[0.19090957]],[[0.27384632]],12.353613138198853
107,1,0.0,relu,21,30,64,6,1,25,0.22622798383235931,0.24873201549053192,0.05087245379885038,0.03684206306934357,0.0503456840912501,[[0.30574345]],[[0.2214208]],[[0.30257756]],12.487381935119629
108,1,0.0,relu,21,30,64,6,2,25,0.19414158165454865,0.21833062171936035,0.04535691812634468,0.03138297547896703,0.045061991860469185,[[0.27259508]],[[0.18861168]],[[0.27082257]],12.905686616897583
109,1,0.0,tanh,7,10,32,4,1,25,0.15704397857189178,0.18020407855510712,0.03812038525938988,0.02589986597498258,0.03875970530013243,[[0.22910352]],[[0.15565819]],[[0.23294583]],25.268000841140747
110,1,0.0,tanh,7,10,32,4,2,25,0.15813098847866058,0.18262113630771637,0.03943124848107497,0.02723848633468151,0.04004291693369547,[[0.2369818]],[[0.1637033]],[[0.24065793]],24.384121417999268
111,1,0.0,tanh,7,10,32,5,1,25,0.15782739222049713,0.18140746653079987,0.038403550162911415,0.026324311271309853,0.03902817890048027,[[0.23080534]],[[0.15820911]],[[0.23455936]],20.337623834609985
112,1,0.0,tanh,7,10,32,5,2,25,0.1889428347349167,0.21400421857833862,0.04772482936580976,0.03558008931577206,0.04827388500173887,[[0.28682622]],[[0.21383634]],[[0.29012605]],26.449517726898193
113,1,0.0,tanh,7,10,32,6,1,25,0.1606435477733612,0.18500572443008423,0.038600812976559006,0.026573483521739643,0.03926489564279715,[[0.23199089]],[[0.15970664]],[[0.23598202]],20.686068534851074
114,1,0.0,tanh,7,10,32,6,2,25,0.15747703611850739,0.1824702024459839,0.039435263723134995,0.027330982809265453,0.04003622755408287,[[0.23700593]],[[0.16425921]],[[0.24061773]],24.4600088596344
115,1,0.0,tanh,7,10,64,4,1,25,0.1586453914642334,0.18237625062465668,0.03820335119962692,0.025993420432011288,0.0388425812125206,[[0.22960214]],[[0.15622046]],[[0.23344391]],19.135897874832153
116,1,0.0,tanh,7,10,64,4,2,25,0.1615535467863083,0.18516628444194794,0.03937317865590254,0.02725452184677124,0.039966605603694916,[[0.2366328]],[[0.16379968]],[[0.2401993]],24.39167308807373
117,1,0.0,tanh,7,10,64,5,1,25,0.16490991413593292,0.18998205661773682,0.039498805378874145,0.027409280339876812,0.04014103611310323,[[0.23738782]],[[0.16472977]],[[0.24124763]],24.99183702468872
118,1,0.0,tanh,7,10,64,5,2,25,0.18942970037460327,0.21435995399951935,0.0479665162662665,0.035996309792002044,0.04852522537112236,[[0.28827876]],[[0.21633782]],[[0.2916366]],24.552292346954346
119,1,0.0,tanh,7,10,64,6,1,25,0.16483068466186523,0.18879418075084686,0.03969511886437734,0.02771602012217045,0.040319353342056274,[[0.23856766]],[[0.16657328]],[[0.24231931]],25.80646800994873
120,1,0.0,tanh,7,10,64,6,2,25,0.16510732471942902,0.18974383175373077,0.04094343011577924,0.02897384266058604,0.041546023140350975,[[0.24607001]],[[0.17413279]],[[0.2496916]],24.410775184631348
121,1,0.0,tanh,7,20,32,4,1,25,0.2174385040998459,0.24345798790454865,0.04568574329217275,0.03403209522366524,0.04630320146679878,[[0.27457132]],[[0.20453289]],[[0.27828224]],16.755931615829468
122,1,0.0,tanh,7,20,32,4,2,25,0.15309061110019684,0.18002690374851227,0.03869816785057386,0.026630951712528866,0.0392527108391126,[[0.23257599]],[[0.16005202]],[[0.23590879]],15.73605489730835
123,1,0.0,tanh,7,20,32,5,1,25,0.21277861297130585,0.23875243961811066,0.04611811414361,0.034451341877381005,0.04674652839700381,[[0.27716987]],[[0.20705256]],[[0.28094664]],15.119212627410889
124,1,0.0,tanh,7,20,32,5,2,25,0.15762732923030853,0.1817723512649536,0.04131447523832321,0.02893247703711192,0.04189381003379822,[[0.2483]],[[0.17388419]],[[0.2517818]],16.473148107528687
125,1,0.0,tanh,7,20,32,6,1,25,0.15729141235351562,0.18400542438030243,0.03755541269977888,0.02571844992538293,0.03815716318786144,[[0.22570803]],[[0.15456788]],[[0.22932455]],14.905054807662964
126,1,0.0,tanh,7,20,32,6,2,25,0.14808930456638336,0.17355883121490479,0.03826913796365261,0.025949591770768166,0.03886295109987259,[[0.22999752]],[[0.15595705]],[[0.23356634]],17.192365646362305
127,1,0.0,tanh,7,20,64,4,1,25,0.1622662991285324,0.18752829730510712,0.03913602915902933,0.027073971306284268,0.0398028821994861,[[0.23520754]],[[0.16271457]],[[0.23921532]],14.935466766357422
128,1,0.0,tanh,7,20,64,4,2,25,0.2048042267560959,0.23058640956878662,0.04648236930370331,0.034865367536743484,0.04710798462231954,[[0.27935904]],[[0.20954086]],[[0.28311899]],17.00727653503418
129,1,0.0,tanh,7,20,64,5,1,25,0.22547538578510284,0.2501666247844696,0.04603112985690435,0.034511384864648185,0.04656377310554186,[[0.27664709]],[[0.20741342]],[[0.27984828]],14.44241213798523
130,1,0.0,tanh,7,20,64,5,2,25,0.16397809982299805,0.18780721724033356,0.04217412446935972,0.030443380276362102,0.04266663392384847,[[0.25346649]],[[0.18296472]],[[0.25642647]],15.275573253631592
131,1,0.0,tanh,7,20,64,6,1,25,0.19334177672863007,0.21991021931171417,0.04500420515735944,0.03327844416101774,0.04568156537910303,[[0.27047527]],[[0.20000345]],[[0.27454621]],16.992160320281982
132,1,0.0,tanh,7,20,64,6,2,25,0.1484956294298172,0.1746947318315506,0.03996381163597107,0.02809465490281582,0.04050597672661146,[[0.24018251]],[[0.16884888]],[[0.24344092]],17.486610889434814
133,1,0.0,tanh,7,30,32,4,1,25,0.17125381529331207,0.19119425117969513,0.0419658658405145,0.030576761191089947,0.042457081377506256,[[0.25221485]],[[0.18376633]],[[0.25516706]],13.659467458724976
